file,glove_type,defect_labels,split,lighting,background,notes
data/ai_generated/images/fabric/damaged_by_fold/20260217_0323_Image Generation_simple_compose_01khm8sss5fkmb73n6qtmb6z7g.png,fabric,damaged_by_fold,test,ai_generated,ai_generated,source=ai path=fabric/damaged_by_fold/20260217_0323_Image Generation_simple_compose_01khm8sss5fkmb73n6qtmb6z7g.png
data/ai_generated/images/fabric/damaged_by_fold/20260217_0323_Image Generation_simple_compose_01khm8sss6fn5atp9tbsj269x4.png,fabric,damaged_by_fold,train,ai_generated,ai_generated,source=ai path=fabric/damaged_by_fold/20260217_0323_Image Generation_simple_compose_01khm8sss6fn5atp9tbsj269x4.png
data/ai_generated/images/fabric/discoloration/20260217_0322_Image Generation_simple_compose_01khm8qw9nfeet7cr51mx8skcj.png,fabric,discoloration,test,ai_generated,ai_generated,source=ai path=fabric/discoloration/20260217_0322_Image Generation_simple_compose_01khm8qw9nfeet7cr51mx8skcj.png
data/ai_generated/images/fabric/discoloration/20260217_0322_Image Generation_simple_compose_01khm8qw9pf5z9fjq1j1xgt1gz.png,fabric,discoloration,train,ai_generated,ai_generated,source=ai path=fabric/discoloration/20260217_0322_Image Generation_simple_compose_01khm8qw9pf5z9fjq1j1xgt1gz.png
data/ai_generated/images/fabric/extra_fingers/20260217_0322_Image Generation_simple_compose_01khm8qsq7ec8a8ee4fpt4x8w8.png,fabric,extra_fingers,test,ai_generated,ai_generated,source=ai path=fabric/extra_fingers/20260217_0322_Image Generation_simple_compose_01khm8qsq7ec8a8ee4fpt4x8w8.png
data/ai_generated/images/fabric/extra_fingers/20260217_0322_Image Generation_simple_compose_01khm8qsq8fnrbtvhvn7ggd8zy.png,fabric,extra_fingers,train,ai_generated,ai_generated,source=ai path=fabric/extra_fingers/20260217_0322_Image Generation_simple_compose_01khm8qsq8fnrbtvhvn7ggd8zy.png
data/ai_generated/images/fabric/hole/20260217_0339_Image Generation_simple_compose_01khm9qvn2fe8a28x8th2whcyz.png,fabric,hole,train,ai_generated,ai_generated,source=ai path=fabric/hole/20260217_0339_Image Generation_simple_compose_01khm9qvn2fe8a28x8th2whcyz.png
data/ai_generated/images/fabric/hole/20260217_0339_Image Generation_simple_compose_01khm9qvn3e37vqxphsqscnf95.png,fabric,hole,val,ai_generated,ai_generated,source=ai path=fabric/hole/20260217_0339_Image Generation_simple_compose_01khm9qvn3e37vqxphsqscnf95.png
data/ai_generated/images/fabric/inside_out/20260217_0323_Image Generation_simple_compose_01khm8t2cefsragk5493zyn77d.png,fabric,inside_out,test,ai_generated,ai_generated,source=ai path=fabric/inside_out/20260217_0323_Image Generation_simple_compose_01khm8t2cefsragk5493zyn77d.png
data/ai_generated/images/fabric/inside_out/20260217_0323_Image Generation_simple_compose_01khm8t2cff7vss020jqs94aaj.png,fabric,inside_out,train,ai_generated,ai_generated,source=ai path=fabric/inside_out/20260217_0323_Image Generation_simple_compose_01khm8t2cff7vss020jqs94aaj.png
data/ai_generated/images/fabric/missing_finger/20260217_0348_Image Generation_simple_compose_01khma88adega85gb6b0ezrmm9.png,fabric,missing_finger,test,ai_generated,ai_generated,source=ai path=fabric/missing_finger/20260217_0348_Image Generation_simple_compose_01khma88adega85gb6b0ezrmm9.png
data/ai_generated/images/fabric/missing_finger/20260217_0348_Image Generation_simple_compose_01khma88aee0ctmtphrnp6skpz.png,fabric,missing_finger,train,ai_generated,ai_generated,source=ai path=fabric/missing_finger/20260217_0348_Image Generation_simple_compose_01khma88aee0ctmtphrnp6skpz.png
data/ai_generated/images/fabric/plastic_contamination/20260217_0322_Image Generation_simple_compose_01khm8s33df4m8spjr5ea5q42j.png,fabric,plastic_contamination,test,ai_generated,ai_generated,source=ai path=fabric/plastic_contamination/20260217_0322_Image Generation_simple_compose_01khm8s33df4m8spjr5ea5q42j.png
data/ai_generated/images/fabric/plastic_contamination/20260217_0322_Image Generation_simple_compose_01khm8s33eex2ak85ngtxrcqb4.png,fabric,plastic_contamination,train,ai_generated,ai_generated,source=ai path=fabric/plastic_contamination/20260217_0322_Image Generation_simple_compose_01khm8s33eex2ak85ngtxrcqb4.png
data/ai_generated/images/fabric/spotting/20260217_0322_Image Generation_simple_compose_01khm8rr86e5jt59388mc3xr2s.png,fabric,spotting,test,ai_generated,ai_generated,source=ai path=fabric/spotting/20260217_0322_Image Generation_simple_compose_01khm8rr86e5jt59388mc3xr2s.png
data/ai_generated/images/fabric/spotting/20260217_0322_Image Generation_simple_compose_01khm8rr87ess9wbszw40pdnn5.png,fabric,spotting,train,ai_generated,ai_generated,source=ai path=fabric/spotting/20260217_0322_Image Generation_simple_compose_01khm8rr87ess9wbszw40pdnn5.png
data/ai_generated/images/fabric/stain_dirty/20260217_0322_Image Generation_simple_compose_01khm8rjebf53an070d4ttt65e.png,fabric,stain_dirty,train,ai_generated,ai_generated,source=ai path=fabric/stain_dirty/20260217_0322_Image Generation_simple_compose_01khm8rjebf53an070d4ttt65e.png
data/ai_generated/images/fabric/stain_dirty/20260217_0322_Image Generation_simple_compose_01khm8rjecfc0v2bkpjkngqgze.png,fabric,stain_dirty,train,ai_generated,ai_generated,source=ai path=fabric/stain_dirty/20260217_0322_Image Generation_simple_compose_01khm8rjecfc0v2bkpjkngqgze.png
data/ai_generated/images/fabric/tear/20260217_0321_Image Generation_simple_compose_01khm8pm6ve2qtpgkmm29zgz88.png,fabric,tear,test,ai_generated,ai_generated,source=ai path=fabric/tear/20260217_0321_Image Generation_simple_compose_01khm8pm6ve2qtpgkmm29zgz88.png
data/ai_generated/images/fabric/tear/20260217_0321_Image Generation_simple_compose_01khm8pm6wf3h9jgpe8vt1mqhh.png,fabric,tear,train,ai_generated,ai_generated,source=ai path=fabric/tear/20260217_0321_Image Generation_simple_compose_01khm8pm6wf3h9jgpe8vt1mqhh.png
data/ai_generated/images/fabric/wrinkles_dent/20260217_0323_Image Generation_simple_compose_01khm8sdajfsgszns783bvjzkg.png,fabric,wrinkles_dent,test,ai_generated,ai_generated,source=ai path=fabric/wrinkles_dent/20260217_0323_Image Generation_simple_compose_01khm8sdajfsgszns783bvjzkg.png
data/ai_generated/images/fabric/wrinkles_dent/20260217_0323_Image Generation_simple_compose_01khm8sdakeees4tm49mk4wv3m.png,fabric,wrinkles_dent,train,ai_generated,ai_generated,source=ai path=fabric/wrinkles_dent/20260217_0323_Image Generation_simple_compose_01khm8sdakeees4tm49mk4wv3m.png
