file,glove_type,defect_labels,split,lighting,background,notes
data/public/commons/fabric/images/Defense.gov photo essay 110906-A-DZ751-093.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/20200907-TransfoAbbruch040.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Gloves - 28096590309.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/BreakBulk5.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Preparing the hospital plant for emergencies (IA preparinghospita00unit).pdf,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Gloves (worn and stiff).jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Before washing 2020-09-18 10-45-00 457.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/fabric/images/-2021-01-18 Foundations and concrete oversite, Trimingham, Norfolk (3).JPG",fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000229.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000232.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Collection of faeces (3700024003).jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Chemikalien-Schutzhandschuhe Vitoject.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/February 2020 - Cannon Renewal Project (50672898821).jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000228.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
"data/public/commons/fabric/images/34. Gepantserde handschoen, te gebruiken bij het werken met rondmes- snijmachin…, Bestanddeelnr 256-1486.jpg",fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000231.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000272.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000271.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000230.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/200321-N-NN369-2006 (49693901548).jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000233.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/3M舒適型止滑耐磨手套 北藝大 20241219.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000227.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/26.SetUp.48thSFF.NationalMall.WDC.19June2014 (14466801981) (2).jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Ferrailleurs et transporteurs 9.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Cowhide leather gloves P1000226.jpg,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/Chainsaw gloves.JPG,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
data/public/commons/fabric/images/The Magazine of art (IA magazineofart10unse).pdf,fabric,,train,unknown,unknown,source=commons manifest=data/public/commons/manifest.csv
