file,glove_type,defect_labels,split,lighting,background,notes
data/public/public_clean/images/fabric/fabric_fabric_Work_Gloves_0de2da0b-841b-4610-aaf8-8d5eb4354b4c.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Leather gloves - 40813410804.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_5329_WDYBT_celia_birtwell_pretty_woman_garden_gloves_02177bb9-0d50-4c19-a2ff-075ee233f9c5.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Gloves DSC 1981.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_A_tiny_leather_glove_71ce0f37-c41a-4342-9f29-14b8cccf5f32.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Cowhide leather gloves P1000231.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Leather gloves - 41485368012.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Leather gloves retired - 27268638308.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
"data/public/public_clean/images/fabric/fabric_Gloves, pair (AM 2003.4.1-1).png",fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Gloves DSC 1977.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_Leather_Gloves_(1930)_829c68c5-039d-4632-ae78-fb1be15986af.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_Radiation_protection_gloves_2_f94d8b97-e998-4496-8f15-a87ff4efb6c0.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_Leather_gloves_retired_ef97921b-90c1-47b9-90ed-01de3aa162d2.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_fabric_basket_of_red_white_and_yellow_daisies_with_gardening_gloves_on_a_table_87cbd61d-cbc1-468f-981f-74cf01cfa09a.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Leather work gloves Friday 2020-10-23 10-52-14 786.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
"data/public/public_clean/images/fabric/fabric_Gloves, pair (AM 2003.4.6-2).png",fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Peccary Driving Glove.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Gloves DSC 1984.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
data/public/public_clean/images/fabric/fabric_Colored Gloves.png,fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
"data/public/public_clean/images/fabric/fabric_Gloves, pair (AM 2003.4.4-4).png",fabric,,train,unknown,unknown,source=commons manifest=data/public/public_clean/manifest.csv
